city_id,city_name,state_name
744,Tindivanam,Tamil Nadu
745,Srivilliputtur,Tamil Nadu
746,Bhadarwah,Jammu and Kashmir
747,Ranaghat,West Bengal
748,Dhrangadhra,Gujarat
749,Gangammapeta,Andhra Pradesh
750,Khejroli,Rajasthan
751,Tirumangalam,Tamil Nadu
752,Pardiguda,Telangana
753,Jaora,Madhya Pradesh
754,Tura,Meghalaya
755,Ambajogai,Maharashtra
756,Dabra,Madhya Pradesh
757,Wandiwash,Tamil Nadu
758,Gudur,Andhra Pradesh
759,Haveri,Karnataka
760,Tarn Taran,Punjab
761,Mangalagiri,Andhra Pradesh
762,Vriddhachalam,Tamil Nadu
763,Kallakkurichchi,Tamil Nadu
764,Kasipalaiyam,Tamil Nadu
765,Pattukkottai,Tamil Nadu
766,Gobindgarh,Punjab
767,Siruguppa,Karnataka
768,Sangareddi,Telangana
769,Virudunagar,Tamil Nadu
770,Warora,Maharashtra
771,Chaklasi,Gujarat
772,Nilanga,Maharashtra
773,Quilandi,Kerala
774,Mandla,Madhya Pradesh
775,Rayadrug,Andhra Pradesh
776,Bilara,Rajasthan
777,Rayagada,Odisha
778,Parappanangadi,Kerala
779,Ratangarh,Rajasthan
780,Tandur,Telangana
781,Markapur,Andhra Pradesh
782,Malaut,Punjab
783,Kodungallur,Kerala
784,Neyyattinkara,Kerala
785,Fatehabad,Haryana
786,Bapatla,Andhra Pradesh
787,Kalamasseri,Kerala
788,Badvel,Andhra Pradesh
789,Valparai,Tamil Nadu
790,Sankaranayinar Kovil,Tamil Nadu
791,Suratgarh,Rajasthan
792,Dandeli,Karnataka
793,Nandura Buzurg,Maharashtra
794,Gaura,Bihar
795,Bijaynagar,Rajasthan
796,Satyamangalam,Tamil Nadu
797,Madhipura,Bihar
798,Kodoli,Maharashtra
799,Avaniyapuram,Tamil Nadu
800,Basavakalyan,Karnataka
801,Faridpur,Uttar Pradesh
802,Tripunittura,Kerala
803,Nowrangapur,Odisha
804,Dharmasagaram,Telangana
805,Varisshiyakuni,Kerala
806,Palghar,Maharashtra
807,Pakribarawan,Bihar
808,Kayankulam,Kerala
809,Paradip Garh,Odisha
810,Ilkal,Karnataka
811,Nihtaur,Uttar Pradesh
812,Anjangaon,Maharashtra
813,Renukut,Uttar Pradesh
814,Nabha,Punjab
815,Siuri,West Bengal
816,Rajsamand,Rajasthan
817,Bishnupur,West Bengal
818,Modasa,Gujarat
819,Gauravaram,Telangana
820,Sausar,Madhya Pradesh
821,Dhenkanal,Odisha
822,Urun-Islampur,Maharashtra
823,Gopalganj,Bihar
824,Dharapuram,Tamil Nadu
825,Guruvayur,Kerala
826,Jagoniguda,Telangana
827,Mirpeta,Telangana
828,Phalodi,Rajasthan
829,Beypore,Kerala
830,Siddipet,Telangana
831,Koratla,Telangana
832,Hasanpur,Uttar Pradesh
833,Sahaswan,Uttar Pradesh
834,Arambagh,West Bengal
835,Piduguralla,Andhra Pradesh
836,Puliyankudi,Tamil Nadu
837,Sangamner,Maharashtra
838,Gohna,Haryana
839,Pulivendla,Andhra Pradesh
840,Kanhangad,Kerala
841,Jaisalmer,Rajasthan
842,Kurabur,Karnataka
843,Giddarbaha,Punjab
844,Tamluk,West Bengal
845,Sinnar,Maharashtra
846,Vaijapur,Maharashtra
847,Jagraon,Punjab
848,Alipur Duar,West Bengal
849,Dhuri,Punjab
850,Rath,Uttar Pradesh
851,Keitumkawn,Mizoram
852,Narapalli,Telangana
853,Palitana,Gujarat
854,Dharmapuri,Tamil Nadu
855,Idappadi,Tamil Nadu
856,Hiriyur,Karnataka
857,Sirsi,Uttar Pradesh
858,Kodad,Telangana
859,Tadepalle,Andhra Pradesh
860,Armur,Telangana
861,Bankra,West Bengal
862,Nawalgarh,Rajasthan
863,Tohana,Haryana
864,Khagaul,Bihar
865,Chakpi Karong,Manipur
866,Sundapalaiyam,Tamil Nadu
867,Jatani,Odisha
868,Chik Ballapur,Karnataka
869,Athni,Karnataka
870,Dhuburi,Assam
871,Gadwal,Telangana
872,Visnagar,Gujarat
873,Pamuru,Andhra Pradesh
874,Sheikhpura,Bihar
875,Sirsi,Karnataka
876,Washim,Maharashtra
877,Nanpara,Uttar Pradesh
878,Bari,Rajasthan
879,Ranipet,Tamil Nadu
880,Kesamudram,Telangana
881,Nagari,Andhra Pradesh
882,Sherkot,Uttar Pradesh
883,Raghogarh,Madhya Pradesh
884,Chidambaram,Tamil Nadu
885,Narwana,Haryana
886,Okha,Gujarat
887,Bhabhua,Bihar
888,Nanjangud,Karnataka
889,Siddhapur,Gujarat
890,Jhargram,West Bengal
891,Ramanathapuram,Tamil Nadu
892,Trikonavattam,Kerala
893,Halvad,Gujarat
894,Udamalpet,Tamil Nadu
